"household_id","ea_id","qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","srtm","twi","srtm_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2011_tot","h2011_wetQ","h2011_wetQstart","zone_id","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2011_eviarea","h2011_evimax","h2011_grn","h2011_sen","LAT_DD_MOD","LON_DD_MOD"
"01010101601002","01010101601",1,50.3,53.2,105.3,133.9,198.4,264,258,699,219,525,55,30,312,1103,13,8,1,1,1,1,1,1,1,885,711,18,1031,675,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601017","01010101601",1,50,52.9,105.6,134.6,198,263,257,700,219,526,48,30,312,1101,13,3,1,1,1,1,1,1,1,884,709,18,1033,674,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601034","01010101601",1,46,49.2,100.1,135.1,194.6,262,256,721,226,543,78,14,312,1158,12,8,1,1,1,1,1,1,1,895,720,18,1035,683,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601049","01010101601",1,46,49.2,100.1,135.1,194.6,262,256,721,226,543,78,14,312,1158,12,8,1,1,1,1,1,1,1,895,720,18,1035,683,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601064","01010101601",1,46.1,49.3,100.1,135,194.8,262,256,721,226,543,85,14,312,1162,13,8,1,1,1,1,1,1,1,896,720,18,1035,683,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601080","01010101601",1,46,49.3,100,135,194.7,262,256,721,226,543,87,14,312,1151,15,8,1,1,1,1,1,1,1,896,720,18,1035,684,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601087","01010101601",1,46.3,49.5,100.5,135,194.9,262,256,721,226,543,81,14,312,1155,12,8,1,1,1,1,1,1,1,895,719,18,1035,683,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601101","01010101601",1,46.8,50,100.2,134.1,195.5,262,256,717,224,539,86,14,312,1131,13,3,1,1,1,1,1,1,1,897,721,18,1034,686,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601116","01010101601",1,47.2,50.4,101.3,134.4,195.8,262,256,714,223,536,62,14,312,1150,12,8,1,1,1,1,1,1,1,894,718,18,1034,683,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601131","01010101601",1,46.6,49.8,100.4,134.5,195.3,262,256,717,224,539,89,14,312,1142,14,8,1,1,1,1,1,1,1,896,720,18,1034,685,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601146","01010101601",1,46.3,49.5,100.4,135,194.9,262,256,721,226,543,85,14,312,1155,12,8,1,1,1,1,1,1,1,895,719,18,1035,683,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010101601162","01010101601",1,46.1,49.3,100,134.9,194.7,262,256,721,226,543,87,14,312,1151,15,8,1,1,1,1,1,1,1,896,720,18,1035,684,18,101,47,0.4357,178,257,41,0.3747,185,264,14.353816185,37.890876313
"01010201403001","01010201403",1,18.7,18.9,90.7,167.5,161.8,224,217,850,274,646,84,14,322,1799,11,13,1,1,2,1,1,1,2,841,671,18,884,595,18,101,47,0.4357,178,257,41,0.3747,185,264,14.2885896726,38.210251919
